id,task_id,attempt_number,status,input_data,output_data,error_message,started_at,finished_at
1,1,1,success,"{""image_prompt"": ""5-Layer Open Montage Structure\n\nLayer 1 — Subject: An utterly alien Rice Titan Harvester of impossible scale, larger than a planet, constructed as a living-mechanical agricultural intelligence with innumerable articulated harvesting limbs, continent-sized crop claws, biomechanical machine surfaces, floating auxiliary harvesters, colossal sensor halos, and a central consciousness core glowing inside its torso.\n\nLayer 2 — Environment: Multiple planetary rice worlds arranged around the titan, enormous agricultural continents, artificial irrigation oceans, orbital farms, rings of harvested grain, moons, stars, nebulae, gravitationally distorted landscapes, entire civilizations appearing microscopic against the machine.\n\nLayer 3 — Architecture: Impossible alien megastructure architecture containing nested planetary threshers, rotating dimensional processing spheres, gravitational grain elevators, living-machine conveyor networks, self-repairing biomechanical armor, infinite storage dimensions, orbital drying reactors, autonomous micro-machine ecosystems, and a colossal central belly factory resembling a miniature artificial universe.\n\nLayer 4 — Energy/Physics: Extreme quantum and gravitational phenomena, miniature artificial suns powering the machine, wormholes connecting agricultural worlds, magnetic rivers carrying rice through space, localized time distortion, spatial folding, plasma oceans, luminous quantum foam, gravitational lensing bending stars around the titan, impossible energy fields surrounding every mechanical movement.\n\nLayer 5 — Cinematic Presentation: Maximum-scale cinematic masterpiece, impossible low-angle cosmic perspective with the planet-sized titan dominating the frame, photorealistic alien-mechanical textures, realistic planetary atmospheres, stars distorted by gravity, volumetric plasma clouds, extreme HDR lighting, cinematic depth, microscopic grain detail simultaneously visible against cosmic scale, hyperreal 16K render."", ""video_prompt"": ""Use IMAGE 10 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.\n\nSecond 1 [0:00-0:01] — HUD Popup Text: \""STEP 1: AWAKEN THE TITAN\"" — The alien agricultural intelligence activates, illuminating countless sensor halos and planetary-scale harvesting systems.\n\nSecond 2 [0:01-0:02] — HUD Popup Text: \""STEP 2: HARVEST REALITY\"" — Innumerable colossal arms reach through folded space and gather rice from multiple worlds simultaneously.\n\nSecond 3 [0:02-0:03] — HUD Popup Text: \""STEP 3: TRANSDIMENSIONAL THRESH\"" — Entire crop streams enter wormholes and emerge inside the titan's impossible belly factory.\n\nSecond 4 [0:03-0:04] — HUD Popup Text: \""STEP 4: QUANTUM PURIFICATION\"" — Individual grains float through miniature artificial suns, gravitational separators, magnetic fields, and alien drying reactors.\n\nSecond 5 [0:04-0:05] — HUD Popup Text: \""STEP 5: STORE THE HARVEST UNIVERSE\"" — Finished grains cascade into an infinite-dimensional storage chamber containing vast glowing reserves of rice.\n\nSeconds 6-8 [0:05-0:08]: HUD text completely fades; the camera performs a continuous impossible-scale descent from the cosmic titan into its belly, through alien processing architecture, and finally reaches a maximum close-up of a single rice grain suspended beside a colossal quantum mechanism, with the surrounding machinery stabilizing into a mesmerizing continuous harvesting rhythm, no cuts, no scene transition, exactly 8 seconds.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester\\Level_10_Rice_Titan_Harvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester\\youtube_metadata.json""}",,2026-08-15 18:12:37.105779,2026-08-15 18:13:21.919150
2,1,2,success,"{""image_prompt"": ""5-Layer Open Montage Structure\n\nLayer 1 — Subject: An utterly alien Rice Titan Harvester of impossible scale, larger than a planet, constructed as a living-mechanical agricultural intelligence with innumerable articulated harvesting limbs, continent-sized crop claws, biomechanical machine surfaces, floating auxiliary harvesters, colossal sensor halos, and a central consciousness core glowing inside its torso.\n\nLayer 2 — Environment: Multiple planetary rice worlds arranged around the titan, enormous agricultural continents, artificial irrigation oceans, orbital farms, rings of harvested grain, moons, stars, nebulae, gravitationally distorted landscapes, entire civilizations appearing microscopic against the machine.\n\nLayer 3 — Architecture: Impossible alien megastructure architecture containing nested planetary threshers, rotating dimensional processing spheres, gravitational grain elevators, living-machine conveyor networks, self-repairing biomechanical armor, infinite storage dimensions, orbital drying reactors, autonomous micro-machine ecosystems, and a colossal central belly factory resembling a miniature artificial universe.\n\nLayer 4 — Energy/Physics: Extreme quantum and gravitational phenomena, miniature artificial suns powering the machine, wormholes connecting agricultural worlds, magnetic rivers carrying rice through space, localized time distortion, spatial folding, plasma oceans, luminous quantum foam, gravitational lensing bending stars around the titan, impossible energy fields surrounding every mechanical movement.\n\nLayer 5 — Cinematic Presentation: Maximum-scale cinematic masterpiece, impossible low-angle cosmic perspective with the planet-sized titan dominating the frame, photorealistic alien-mechanical textures, realistic planetary atmospheres, stars distorted by gravity, volumetric plasma clouds, extreme HDR lighting, cinematic depth, microscopic grain detail simultaneously visible against cosmic scale, hyperreal 16K render."", ""video_prompt"": ""Use IMAGE 10 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.\n\nSecond 1 [0:00-0:01] — HUD Popup Text: \""STEP 1: AWAKEN THE TITAN\"" — The alien agricultural intelligence activates, illuminating countless sensor halos and planetary-scale harvesting systems.\n\nSecond 2 [0:01-0:02] — HUD Popup Text: \""STEP 2: HARVEST REALITY\"" — Innumerable colossal arms reach through folded space and gather rice from multiple worlds simultaneously.\n\nSecond 3 [0:02-0:03] — HUD Popup Text: \""STEP 3: TRANSDIMENSIONAL THRESH\"" — Entire crop streams enter wormholes and emerge inside the titan's impossible belly factory.\n\nSecond 4 [0:03-0:04] — HUD Popup Text: \""STEP 4: QUANTUM PURIFICATION\"" — Individual grains float through miniature artificial suns, gravitational separators, magnetic fields, and alien drying reactors.\n\nSecond 5 [0:04-0:05] — HUD Popup Text: \""STEP 5: STORE THE HARVEST UNIVERSE\"" — Finished grains cascade into an infinite-dimensional storage chamber containing vast glowing reserves of rice.\n\nSeconds 6-8 [0:05-0:08]: HUD text completely fades; the camera performs a continuous impossible-scale descent from the cosmic titan into its belly, through alien processing architecture, and finally reaches a maximum close-up of a single rice grain suspended beside a colossal quantum mechanism, with the surrounding machinery stabilizing into a mesmerizing continuous harvesting rhythm, no cuts, no scene transition, exactly 8 seconds.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester\\Level_10_Rice_Titan_Harvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice_Titan_Harvester\\youtube_metadata.json""}",,2026-08-15 18:13:07.435708,2026-08-15 18:13:21.622062
3,2,1,success,"{""image_prompt"": ""Layer 1 — Subject: An impossibly colossal alien Rice Titan Harvester, vastly larger than a continent, standing across an entire planetary rice world, its architecture simultaneously mechanical, crystalline, biomechanical, and extraterrestrial, with innumerable articulated harvesting limbs extending beyond the horizon, intelligent harvesting entities moving across its body, and a central agricultural intelligence core resembling a miniature universe.\n\nLayer 2 — Environment: An alien rice planet covered by endless luminous paddy oceans, colossal terraces spanning continents, bioluminescent rice plants, floating irrigation rivers, gigantic atmospheric storms, multiple moons, auroras, alien mountains, microscopic settlements, and vast clouds wrapping around the titan's upper structures.\n\nLayer 3 — Architecture: Transcendent alien-industrial chassis composed of impossible self-assembling materials, crystalline structural bones, biomechanical armor, kilometer-scale articulated limbs, living conveyor networks, reality-bending threshing chambers, quantum grain separators, stellar drying engines, planet-sized storage vaults, autonomous repair organisms, and internal spaces vastly larger than the exterior geometry permits.\n\nLayer 4 — Energy/Physics: Multiple miniature stars and artificial black-hole-like energy cores contained safely inside the torso, enormous quantum fields, gravitational lattices, magnetic vortex harvesting systems, luminous spacetime fractures, exotic particle streams, localized dimensional portals, controlled gravity waves, aurora-like energy surrounding every mechanical movement, while maintaining coherent physically cinematic visual logic.\n\nLayer 5 — Cinematic Presentation: Ultimate maximum-scale cinematic composition from within a rice field looking toward the alien titan as it rises beyond the atmosphere and seemingly into space, multiple moons behind its silhouette, enormous energy structures glowing through clouds, hyper-realistic materials, volumetric cosmic lighting, atmospheric scattering, extreme cinematic depth, breathtaking scale, photorealistic impossible technology, ultra-detailed 16k render."", ""video_prompt"": """"}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum\\Level_10_The_Paddy_Ocean_Vacuum.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum\\youtube_metadata.json""}",,2026-08-15 18:13:21.717103,2026-08-15 18:13:30.538917
4,2,2,success,"{""image_prompt"": ""Layer 1 — Subject: An impossibly colossal alien Rice Titan Harvester, vastly larger than a continent, standing across an entire planetary rice world, its architecture simultaneously mechanical, crystalline, biomechanical, and extraterrestrial, with innumerable articulated harvesting limbs extending beyond the horizon, intelligent harvesting entities moving across its body, and a central agricultural intelligence core resembling a miniature universe.\n\nLayer 2 — Environment: An alien rice planet covered by endless luminous paddy oceans, colossal terraces spanning continents, bioluminescent rice plants, floating irrigation rivers, gigantic atmospheric storms, multiple moons, auroras, alien mountains, microscopic settlements, and vast clouds wrapping around the titan's upper structures.\n\nLayer 3 — Architecture: Transcendent alien-industrial chassis composed of impossible self-assembling materials, crystalline structural bones, biomechanical armor, kilometer-scale articulated limbs, living conveyor networks, reality-bending threshing chambers, quantum grain separators, stellar drying engines, planet-sized storage vaults, autonomous repair organisms, and internal spaces vastly larger than the exterior geometry permits.\n\nLayer 4 — Energy/Physics: Multiple miniature stars and artificial black-hole-like energy cores contained safely inside the torso, enormous quantum fields, gravitational lattices, magnetic vortex harvesting systems, luminous spacetime fractures, exotic particle streams, localized dimensional portals, controlled gravity waves, aurora-like energy surrounding every mechanical movement, while maintaining coherent physically cinematic visual logic.\n\nLayer 5 — Cinematic Presentation: Ultimate maximum-scale cinematic composition from within a rice field looking toward the alien titan as it rises beyond the atmosphere and seemingly into space, multiple moons behind its silhouette, enormous energy structures glowing through clouds, hyper-realistic materials, volumetric cosmic lighting, atmospheric scattering, extreme cinematic depth, breathtaking scale, photorealistic impossible technology, ultra-detailed 16k render."", ""video_prompt"": """"}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum\\Level_10_The_Paddy_Ocean_Vacuum.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Paddy_Ocean_Vacuum\\youtube_metadata.json""}",,2026-08-15 18:13:21.982227,2026-08-15 18:14:23.018562
5,3,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Rice-Field Spider Colossus."", ""video_prompt"": ""8-second Level 10 operation of Rice-Field Spider Colossus with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus\\Level_10_Rice-Field_Spider_Colossus.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus\\youtube_metadata.json""}",,2026-08-15 18:13:30.742899,2026-08-15 18:13:49.378840
6,3,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Rice-Field Spider Colossus."", ""video_prompt"": ""8-second Level 10 operation of Rice-Field Spider Colossus with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus\\Level_10_Rice-Field_Spider_Colossus.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Rice-Field_Spider_Colossus\\youtube_metadata.json""}",,2026-08-15 18:13:40.869675,2026-08-15 18:13:54.181340
7,4,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Monsoon Harvesting Ark."", ""video_prompt"": ""8-second Level 10 operation of The Monsoon Harvesting Ark with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark\\Level_10_The_Monsoon_Harvesting_Ark.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark\\youtube_metadata.json""}",,2026-08-15 18:13:49.458284,2026-08-15 18:14:00.302548
8,4,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for The Monsoon Harvesting Ark."", ""video_prompt"": ""8-second Level 10 operation of The Monsoon Harvesting Ark with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark\\Level_10_The_Monsoon_Harvesting_Ark.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_The_Monsoon_Harvesting_Ark\\youtube_metadata.json""}",,2026-08-15 18:13:54.655490,2026-08-15 18:14:00.983786
9,5,1,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Paddy Ring Megaharvester."", ""video_prompt"": ""8-second Level 10 operation of Paddy Ring Megaharvester with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester\\Level_10_Paddy_Ring_Megaharvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester\\youtube_metadata.json""}",,2026-08-15 18:14:00.395412,2026-08-15 18:14:08.345115
10,5,2,success,"{""image_prompt"": ""Level 10 Alien Megastructure for Paddy Ring Megaharvester."", ""video_prompt"": ""8-second Level 10 operation of Paddy Ring Megaharvester with 5-step HUD telemetry popups.""}","{""package_folder"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester"", ""video"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester\\Level_10_Paddy_Ring_Megaharvester.mp4"", ""metadata"": ""C:\\Users\\Irak\\Desktop\\Youtube Pipeline\\PromptDatabase\\output_packaged\\Level_10_Paddy_Ring_Megaharvester\\youtube_metadata.json""}",,2026-08-15 18:14:01.050289,2026-08-15 18:14:08.371191
