id,workflow_version_id,idea_id,video_id,channel_id,status,definition_snapshot,context_data,idempotency_key,started_at,completed_at,error_summary,created_at,updated_at,attempt_count,max_attempts,error_message,last_failure_time,next_retry_time
f9b91f86-cdfe-4853-8791-c677a2c2c099,wf_ver_default_v1,1,,,RETRY_WAIT,{},{},,2026-09-09 09:51:07.753127,,Simulated transient error on attempt 1,2026-09-09 09:51:07.716287,2026-09-09 09:51:07.768756,1,3,Simulated transient error on attempt 1,2026-09-09 09:51:07.768756,2026-09-09 09:51:07.778756
56a57f5f-133f-49fa-904e-f9b2ce3ac6d5,wf_ver_default_v1,1,,,RETRY_WAIT,{},{},,2026-09-09 09:51:07.904695,,Network unreachable,2026-09-09 09:51:07.885125,2026-09-09 09:51:07.916674,1,3,Network unreachable,2026-09-09 09:51:07.916674,2026-09-09 09:51:07.917674
291c6ade-577b-4edd-9a6a-4329de74fa50,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:52:46.560939,,,2026-09-09 09:52:46.485268,2026-09-09 09:52:46.670975,0,3,,,
62dceabf-099e-4ae7-b2f2-f3afa546c440,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:52:47.340376,2026-09-09 09:52:47.420354,Simulated transient error on attempt 2,2026-09-09 09:52:47.325381,2026-09-09 09:52:47.420354,2,3,Simulated transient error on attempt 2,2026-09-09 09:52:47.391385,
a7e10a3c-66c3-4d3f-8ad1-5b2aad6f4e4f,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:52:47.487742,2026-09-09 09:52:47.552762,Network unreachable,2026-09-09 09:52:47.474738,2026-09-09 09:52:47.552762,3,3,Network unreachable,2026-09-09 09:52:47.552762,
27c2ba49-7e9c-424d-84ab-07b4043d6786,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:53:35.815592,,,2026-09-09 09:53:35.752684,2026-09-09 09:53:35.966098,0,3,,,
2232cbf6-fc02-41c5-a419-02f2d943f7bf,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:53:36.001061,2026-09-09 09:53:36.084761,Simulated transient error on attempt 2,2026-09-09 09:53:35.986070,2026-09-09 09:53:36.084761,2,3,Simulated transient error on attempt 2,2026-09-09 09:53:36.053854,
45679f25-7ed4-4d6a-aebb-4ef1146f4b02,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:53:36.798875,2026-09-09 09:53:36.892144,Network unreachable,2026-09-09 09:53:36.780797,2026-09-09 09:53:36.892144,3,3,Network unreachable,2026-09-09 09:53:36.892144,
7336a8db-26ac-429d-bc29-fd883efd5789,wf_ver_default_v1,1,,,SUCCESS,{},"{""result"": ""ok""}",,2026-09-09 09:54:00.094352,2026-09-09 09:54:00.183754,Fail 2,2026-09-09 09:53:59.961656,2026-09-09 09:54:00.183754,2,3,Fail 2,2026-09-09 09:54:00.153424,
5a1174dd-9ef5-40c6-a9e1-ff3d913bdd00,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:54:39.105371,,,2026-09-09 09:54:39.020111,2026-09-09 09:54:39.239896,0,3,,,
36bc0d33-05d7-4a9d-9be5-882b9b8e281f,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:54:39.279677,2026-09-09 09:54:39.354514,Simulated transient error on attempt 2,2026-09-09 09:54:39.263352,2026-09-09 09:54:39.354514,2,3,Simulated transient error on attempt 2,2026-09-09 09:54:39.325482,
fda2b593-c84e-4935-9c87-b6ccce18c948,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:54:39.393123,2026-09-09 09:54:39.452952,Network unreachable,2026-09-09 09:54:39.375988,2026-09-09 09:54:39.452952,3,3,Network unreachable,2026-09-09 09:54:39.452952,
55181bc1-42a4-4926-abc1-10e9f69ea1db,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:55:01.236291,,,2026-09-09 09:55:01.176036,2026-09-09 09:55:01.468256,0,3,,,
a2a6281a-09a6-4f90-9e42-1547c00fcc82,wf_ver_default_v1,1,,,SUCCESS,{},"{""status"": ""success"", ""resolved_on_attempt"": 3}",,2026-09-09 09:55:01.630032,2026-09-09 09:55:01.698105,Simulated transient error on attempt 2,2026-09-09 09:55:01.489374,2026-09-09 09:55:01.698105,2,3,Simulated transient error on attempt 2,2026-09-09 09:55:01.670896,
2c519086-dcb0-438a-a18a-80efd554f01d,wf_ver_default_v1,1,,,FAILED,{},{},,2026-09-09 09:55:01.746529,2026-09-09 09:55:01.814651,Network unreachable,2026-09-09 09:55:01.725722,2026-09-09 09:55:01.814651,3,3,Network unreachable,2026-09-09 09:55:01.814651,
9aafb8ae-9c09-432a-a6a8-878859867c84,wf_ver_default_v1,1,,,RUNNING,{},"{""test_key"": ""initial_value""}",,2026-09-09 09:56:02.190345,,,2026-09-09 09:56:02.133490,2026-09-09 09:56:02.288494,0,3,,,
